Country,Year,Happiness Score,gdp_per_capita,social_support,life_expectancy,freedom_of_choice,generosity,perceptions_of_corruption
Egypt,2018,4.42,0.89,1.03,0.55,0.31,0.09,0.11
Chad,2018,4.3,0.36,0.91,0.05,0.19,0.18,0.06
Ethiopia,2018,4.35,0.31,0.95,0.39,0.45,0.22,0.15
Yemen,2018,3.36,0.44,1.07,0.34,0.24,0.08,0.06
Mauritania,2018,4.36,0.56,1.25,0.29,0.13,0.13,0.09
Jordan,2018,5.16,0.82,1.27,0.65,0.47,0.13,0.13
Togo,2018,4,0.26,0.47,0.25,0.43,0.16,0.1
India,2018,4.19,0.72,0.75,0.49,0.54,0.17,0.09
Zambia,2018,4.38,0.56,1.05,0.3,0.5,0.22,0.08
Malawi,2018,3.59,0.19,0.54,0.31,0.53,0.21,0.08
Tanzania,2018,3.3,0.46,0.99,0.38,0.48,0.27,0.1
Sierra Leone,2018,4.57,0.26,0.81,0,0.36,0.24,0.05
Lesotho,2018,3.81,0.47,1.22,0.08,0.42,0.12,0.11
Botswana,2018,3.59,1.02,1.17,0.42,0.56,0.04,0.09
Rwanda,2018,3.41,0.33,0.9,0.4,0.64,0.2,0.44
Zimbabwe,2018,3.69,0.36,1.09,0.25,0.41,0.13,0.1
Lebanon,2018,5.36,0.97,1.18,0.79,0.5,0.21,0.14
Afghanistan,2018,3.63,0.33,0.54,0.26,0.09,0.19,0.04
Finland,2019,7.769,1.34,1.587,0.986,0.596,0.153,0.393
Denmark,2019,7.6,1.383,1.573,0.996,0.592,0.252,0.41
Norway,2019,7.554,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,2019,7.494,1.38,1.624,1.026,0.591,0.354,0.118
Netherlands,2019,7.488,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,2019,7.48,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,2019,7.343,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,2019,7.307,1.303,1.557,1.026,0.585,0.33,0.38
Canada,2019,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Austria,2019,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Australia,2019,7.228,1.372,1.548,1.036,0.557,0.332,0.29
Costa Rica,2019,7.167,1.034,1.441,0.963,0.558,0.144,0.093
Israel,2019,7.139,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,2019,7.09,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,2019,7.054,1.333,1.538,0.996,0.45,0.348,0.278
Ireland,2019,7.021,1.499,1.553,0.999,0.516,0.298,0.31
